Gene Name,Gene Symbol,Chromosome,Entrez GeneId,NCBI Accession Number,MGI Marker AccessionId,SwissProt Accession Number,GENSAT Number
"RIKEN cDNA 6330444E15 gene","6330444E15Rik","","442797","NM_001002767","MGI:3045241","",""
"RIKEN cDNA 6330500D04 gene","6330500D04Rik","13","193385","XM_484234","MGI:2444879","",""
"RIKEN cDNA 6330503C03 gene","6330503C03Rik","6","76156","NM_029528","MGI:1923406","",""
"RIKEN cDNA 6330503K22 gene","6330503K22Rik","7","101565","NM_182995","MGI:2141942","Q7TSH4",""
"RIKEN cDNA 6330505F04 gene","6330505F04Rik","X","236790","NM_172779","MGI:2442593","Q8BND4",""
"RIKEN cDNA 6330505N24 gene","6330505N24Rik","3","229474","XM_130991","MGI:2684972","",""
"RIKEN cDNA 6330512M04 gene","6330512M04Rik","7","320802","NM_177265","MGI:2444776","",""
"hypothetical protein 6330513E13","6330513E13","18","328993","NM_177831","","",""
"RIKEN cDNA 6330514A18 gene","6330514A18Rik","10","216166","NM_183152","MGI:3026984","",""
"RIKEN cDNA 6330527O06 gene","6330527O06Rik","2","76161","NM_029530","MGI:1923411","Q9D387","G03135"
"RIKEN cDNA 6330530A05 gene","6330530A05Rik","4","230678","NM_172383","MGI:1923409","","G03042"
"RIKEN cDNA 6330545A04 gene","6330545A04Rik","4","76166","XM_205477","MGI:1923416","",""
"RIKEN cDNA 6330548G22 gene","6330548G22Rik","5","76167","NM_029532","MGI:1923417","",""
"RIKEN cDNA 6330549D23 gene","6330549D23Rik","3","229613","NM_175469","MGI:2442586","",""
"RIKEN cDNA 6330553B08 gene (non-RefSeq)","6330553B08Rik*","","0","6330553B08","","",""
"RIKEN cDNA 6330556J12 gene (non-RefSeq)","6330556J12Rik*","","0","6330556J12","","",""
"RIKEN cDNA 6330563N19 gene (non-RefSeq)","6330563N19Rik*","","0","6330563N19","","",""
"RIKEN cDNA 6330569M22 gene","6330569M22Rik","3","229707","NM_153563","MGI:2443884","Q8C079",""
"RIKEN cDNA 6330577E15 gene","6330577E15Rik","19","67788","NM_026377","MGI:1915038","Q8BP27",""
"RIKEN cDNA 6330578E17 gene","6330578E17Rik","1","76178","NM_198006","MGI:1923428","",""
"RIKEN cDNA 6330581L23 gene","6330581L23Rik","7","233056","NM_146185","MGI:1923431","",""
"RIKEN cDNA 6330581N18 gene","6330581N18Rik","2","319453","NM_176915","MGI:2442054","",""
"RIKEN cDNA 6332401O19 gene","6332401O19Rik","6","319832","NM_177013","MGI:2442812","",""
"RIKEN cDNA 6430500J09 gene (non-RefSeq)","6430500J09Rik*","","0","6430500J09","","",""
"RIKEN cDNA 6430502M16 gene","6430502M16Rik","13","218440","NM_175455","MGI:2443245","",""
"RIKEN cDNA 6430503K07 gene (non-RefSeq)","6430503K07Rik*","","0","6430503K07","","",""
"RIKEN cDNA 6430509P22 gene (non-RefSeq)","6430509P22Rik*","","0","6430509P22","","",""
"RIKEN cDNA 6430510M02 gene","6430510M02Rik","2","319517","NM_176932","MGI:2442183","",""
"RIKEN cDNA 6430514L14 gene","6430514L14Rik","9","76886","XM_135000","MGI:1924136","",""
"RIKEN cDNA 6430517E21 gene","6430517E21Rik","1","240843","NM_207583","MGI:2443333","Q6DFY8",""
"RIKEN cDNA 6430521C12 gene (non-RefSeq)","6430521C12Rik*","","0","6430521C12","","",""
"RIKEN cDNA 6430521H20 gene (non-RefSeq)","6430521H20Rik*","","0","6430521H20","","",""
"RIKEN cDNA 6430524H05 gene","6430524H05Rik","4","212390","XM_131360","MGI:3612790","",""
"RIKEN cDNA 6430526N21 gene","6430526N21Rik","7","319748","mCT184919.0","MGI:2442656","",""
"RIKEN cDNA 6430526N21 gene","6430526N21Rik","7","319748","Mm.5750","MGI:2442656","",""
"RIKEN cDNA 6430526N21 gene","6430526N21Rik","7","319748","XM_285987","MGI:2442656","",""
"RIKEN cDNA 6430527G18 gene","6430527G18Rik","12","238330","NM_145836","MGI:2442463","Q8K3X4",""
"RIKEN cDNA 6430531B16 gene","6430531B16Rik","7","381933","XM_355958","MGI:2685939","",""
"RIKEN cDNA 6430537H07 gene","6430537H07Rik","19","226265","NM_178689","MGI:2441717","",""
"RIKEN cDNA 6430538I22 gene (non-RefSeq)","6430538I22Rik*","","0","6430538I22","","",""
"hypothetical protein 6430548G04","6430548G04","2","329371","XM_488939","","",""
"RIKEN cDNA 6430548M08 gene","6430548M08Rik","8","234797","NM_172286","MGI:2443793","Q8R0A7",""
"RIKEN cDNA 6430550D23 gene","6430550D23Rik","2","320095","XM_196284","MGI:2443361","",""
"RIKEN cDNA 6430565L09 gene (non-RefSeq)","6430565L09Rik*","","0","6430565L09","","",""
"RIKEN cDNA 6430567L13 gene (non-RefSeq)","6430567L13Rik*","","0","6430567L13","","",""
"RIKEN cDNA 6430571L13 gene","6430571L13Rik","9","235599","NM_175486","MGI:2445137","Q8BGK9",""
"RIKEN cDNA 6430573F11 gene","6430573F11Rik","8","319582","NM_176952","MGI:2442328","","G00337"
"RIKEN cDNA 6430590A10 gene","6430590A10Rik","10","319850","NM_177017","MGI:2442852","",""
"RIKEN cDNA 6430590I03 gene","6430590I03Rik","16","76222","XM_489535","MGI:1923472","",""
"RIKEN cDNA 6430598A04 gene","6430598A04Rik","5","243300","NM_175521","MGI:2443880","",""
"RIKEN cDNA 6430601A21 gene","6430601A21Rik","2","228491","NM_175466","MGI:2445100","",""
"RIKEN cDNA 6430601O08 gene (non-RefSeq)","6430601O08Rik*","","0","6430601O08","","",""
"RIKEN cDNA 6430701C03 gene","6430701C03Rik","7","76229","NM_175237","MGI:1923479","",""
"RIKEN cDNA 6430704M03 gene","6430704M03Rik","4","230235","XM_131434","MGI:2442704","",""
"RIKEN cDNA 6430706D22 gene","6430706D22Rik","1","381280","NM_198652","MGI:2685821","","G01392"
"RIKEN cDNA 6430706K06 gene (non-RefSeq)","6430706K06Rik*","","0","6430706K06","","",""
"RIKEN cDNA 6430709H04 gene","6430709H04Rik","16","319228","XM_484539","","",""
"RIKEN cDNA 6530401C20 gene","6530401C20Rik","5","231842","NM_173405","MGI:2442258","Q8BVF9",""
"RIKEN cDNA 6530401D17 gene","6530401D17Rik","X","76219","NM_029541","MGI:1923469","",""
"RIKEN cDNA 6530401N04 gene","6530401N04Rik","12","328092","NM_029545","MGI:1923485","","G03722"
"hypothetical protein 6530402A20","6530402A20","14","328479","NM_177817","","",""
"RIKEN cDNA 6530402F18 gene (non-RefSeq)","6530402F18Rik*","","0","6530402F18","","",""
"RIKEN cDNA 6530403A03 gene","6530403A03Rik","13","67797","NM_026382","MGI:1915047","Q9D361",""
"RIKEN cDNA 6530409C15 gene","6530409C15Rik","6","76224","XM_485734","MGI:1923474","",""
"RIKEN cDNA 6530418L21 gene","6530418L21Rik","3","109050","NM_175398","MGI:1923497","",""
"hypothetical protein 6530439I21","6530439I21","1","329253","NM_177837","","",""
"RIKEN cDNA 6620401K05 gene","6620401K05Rik","9","235610","NM_172774","MGI:1925349","Q8BMG1","G01795"
"RIKEN cDNA 6620401M08 gene","6620401M08Rik","7","75744","XM_489178","MGI:1922994","",""
"RIKEN cDNA 6720401G13 gene","6720401G13Rik","X","103012","XM_489349","MGI:2147989","",""
"RIKEN cDNA 6720416L17 gene","6720416L17Rik","2","399588","NM_207266","MGI:3026978","",""
"RIKEN cDNA 6720419K19 gene (non-RefSeq)","6720419K19Rik*","","0","6720419K19","","",""
"RIKEN cDNA 6720456B07 gene","6720456B07Rik","6","101314","NM_133937","MGI:1915406","",""
"RIKEN cDNA 6720456H20 gene","6720456H20Rik","14","218989","NM_172600","MGI:2443219","Q8BMD6",""
"RIKEN cDNA 6720457D02 gene","6720457D02Rik","Un","77117","NM_175252","MGI:1924367","",""
"RIKEN cDNA 6720458F09 gene","6720458F09Rik","12","328162","NM_177374","MGI:2443487","Q80XC2",""
"RIKEN cDNA 6720460F02 gene","6720460F02Rik","11","109212","NM_144526","MGI:1924434","",""
"RIKEN cDNA 6720463M24 gene","6720463M24Rik","14","77744","NM_175265","MGI:1924994","",""
"RIKEN cDNA 6720467C03 gene","6720467C03Rik","4","68099","NM_026558","MGI:1915349","",""
"RIKEN cDNA 6720469N11 gene","6720469N11Rik","3","320339","NM_177138","MGI:2443842","",""
"RIKEN cDNA 6820408C15 gene","6820408C15Rik","2","228778","NM_177656","MGI:3045333","",""
"RIKEN cDNA 6820421L05 gene (non-RefSeq)","6820421L05Rik*","","0","6820421L05","","",""
"RIKEN cDNA 6820424L24 gene","6820424L24Rik","5","100515","XM_144310","MGI:2140750","",""
"hypothetical protein 6820429M01","6820429M01","7","233905","NM_172749","","",""
"RIKEN cDNA 6820433M10 gene (non-RefSeq)","6820433M10Rik*","","0","6820433M10","","",""
"RIKEN cDNA 7030419G21 gene","7030419G21Rik","9","434378","XM_489258","MGI:3045384","",""
"RIKEN cDNA 7120411E18 gene (non-RefSeq)","7120411E18Rik*","","0","7120411E18","","",""
"RIKEN cDNA 7120431E04 gene (non-RefSeq)","7120431E04Rik*","","0","7120431E04","","",""
"RIKEN cDNA 7120432I05 gene (non-RefSeq)","7120432I05Rik*","","0","7120432I05","","",""
"RIKEN cDNA 7120438E14 gene (non-RefSeq)","7120438E14Rik*","","0","7120438E14","","",""
"RIKEN cDNA 7120469K03 gene (non-RefSeq)","7120469K03Rik*","","0","7120469K03","","",""
"RIKEN cDNA 7120479G11 gene (non-RefSeq)","7120479G11Rik*","","0","7120479G11","","",""
"RIKEN cDNA 7120491C04 gene (non-RefSeq)","7120491C04Rik*","","0","7120491C04","","",""
"RIKEN cDNA 7120492P10 gene (non-RefSeq)","7120492P10Rik*","","0","7120492P10","","",""
"RIKEN cDNA 7230401B09 gene (non-RefSeq)","7230401B09Rik*","","0","7230401B09","","",""
"RIKEN cDNA 7420401J09 gene (non-RefSeq)","7420401J09Rik*","","0","7420401J09","","",""
"RIKEN cDNA 7420403K13 gene (non-RefSeq)","7420403K13Rik*","","0","7420403K13","","",""
"RIKEN cDNA 7420413N10 gene (non-RefSeq)","7420413N10Rik*","","0","7420413N10","","",""
"RIKEN cDNA 7420416P09 gene","7420416P09Rik","12","432677","XM_484161","MGI:3588197","",""
"RIKEN cDNA 7420419J09 gene (non-RefSeq)","7420419J09Rik*","","0","7420419J09","","",""
"RIKEN cDNA 7420422B15 gene (non-RefSeq)","7420422B15Rik*","","0","7420422B15","","",""
"RIKEN cDNA 7420422E11 gene (non-RefSeq)","7420422E11Rik*","","0","7420422E11","","",""
"RIKEN cDNA 7420426K07 gene (non-RefSeq)","7420426K07Rik*","","0","7420426K07","","",""
"RIKEN cDNA 7420444D23 gene (non-RefSeq)","7420444D23Rik*","","0","7420444D23","","",""
"RIKEN cDNA 7420456B02 gene (non-RefSeq)","7420456B02Rik*","","0","7420456B02","","",""
"RIKEN cDNA 7420458B01 gene (non-RefSeq)","7420458B01Rik*","","0","7420458B01","","",""
"RIKEN cDNA 7420464K22 gene (non-RefSeq)","7420464K22Rik*","","0","7420464K22","","",""
"RIKEN cDNA 7420466C19 gene (non-RefSeq)","7420466C19Rik*","","0","7420466C19","","",""
"RIKEN cDNA 7420498E04 gene (non-RefSeq)","7420498E04Rik*","","0","7420498E04","","",""
"RIKEN cDNA 7530404M11 gene","7530404M11Rik","3","329731","NM_183224","MGI:3046463","Q7TPG6",""
"RIKEN cDNA 7530406K02 gene (non-RefSeq)","7530406K02Rik*","","0","7530406K02","","",""
"RIKEN cDNA 7530416G11 gene","7530416G11Rik","15","328577","XM_622208","MGI:3036279","",""
"RIKEN cDNA 7530420F21 gene","7530420F21Rik","1","320019","XM_488915","MGI:2443180","",""
"RIKEN cDNA 7530422B04 gene","7530422B04Rik","2","228792","XM_149265","MGI:2685409","",""
"RIKEN cDNA 7530426G23 gene (non-RefSeq)","7530426G23Rik*","","0","7530426G23","","",""
"RIKEN cDNA 8030411F24 gene","8030411F24Rik","2","78609","XM_130383","MGI:1925859","",""
"RIKEN cDNA 8030423F21 gene","8030423F21Rik","5","211001","XM_485607","MGI:2443206","",""
"RIKEN cDNA 8030423J24 gene","8030423J24Rik","13","77166","XM_127424","MGI:1924416","",""
"RIKEN cDNA 8030443D09 gene","8030443D09Rik","2","278932","XM_204992","MGI:2685553","",""
"RIKEN cDNA 8030447O22 gene (non-RefSeq)","8030447O22Rik*","","0","8030447O22","","",""
"RIKEN cDNA 8030451F13 gene","8030451F13Rik","10","109272","NM_175418","MGI:1924741","",""
"RIKEN cDNA 8030451K01 gene","8030451K01Rik","3","212114","NM_172501","MGI:2444520","",""
"RIKEN cDNA 8030462N17 gene","8030462N17Rik","18","212163","NM_178670","MGI:2444951","Q8BH50",""
"RIKEN cDNA 8030463A06 gene","8030463A06Rik","4","414083","NM_001001494","MGI:3041164","",""
"RIKEN cDNA 8030466O12 gene","8030466O12Rik","7","233893","NM_146203","MGI:2443580","",""
"RIKEN cDNA 8030474K03 gene","8030474K03Rik","X","382231","XM_356343","MGI:2685988","",""
"RIKEN cDNA 8030475D13 gene","8030475D13Rik","3","319587","NM_176955","MGI:2442335","",""
"RIKEN cDNA 8030491B10 gene (non-RefSeq)","8030491B10Rik*","","0","8030491B10","","",""
"RIKEN cDNA 8030491N06 gene","8030491N06Rik","7","77505","XM_355968","MGI:1924755","",""
"RIKEN cDNA 8030498B09 gene","8030498B09Rik","9","77547","NM_023867","MGI:1924797","",""
"RIKEN cDNA 8230402K04 gene","8230402K04Rik","15","268807","NM_177755","MGI:3045310","",""
"RIKEN cDNA 8430406I07 gene","8430406I07Rik","2","74528","NM_028984","MGI:1921778","Q9CXC3",""
"RIKEN cDNA 8430407H02 gene (non-RefSeq)","8430407H02Rik*","","0","8430407H02","","",""
"RIKEN cDNA 8430408G22 gene","8430408G22Rik","6","213393","NM_145980","MGI:1918730","Q8K2F3",""
"RIKEN cDNA 8430410A17 gene","8430410A17Rik","6","232210","NM_173737","MGI:1914053","Q8R1M0",""
"RIKEN cDNA 8430410K20 gene","8430410K20Rik","9","78100","NM_145609","MGI:1925350","",""
"RIKEN cDNA 8430415E04 gene","8430415E04Rik","12","74521","NM_028980","MGI:1921771","",""
"RIKEN cDNA 8430416H19 gene","8430416H19Rik","10","380660","NM_198636","MGI:2685720","",""
"RIKEN cDNA 8430417A20 gene","8430417A20Rik","6","74516","NM_175209","MGI:1921766","",""
"RIKEN cDNA 8430417E04 gene (non-RefSeq)","8430417E04Rik*","","0","8430417E04","","",""
"RIKEN cDNA 8430419L09 gene","8430419L09Rik","6","74525","NM_028982","MGI:1921775","","G00323"
"RIKEN cDNA 8430422B01 gene (non-RefSeq)","8430422B01Rik*","","0","8430422B01","","",""
"RIKEN cDNA 8430423G03 gene","8430423G03Rik","5","71473","XM_149714","MGI:1918723","",""
"RIKEN cDNA 8430427H17 gene","8430427H17Rik","2","329540","NM_001001986","MGI:1918765","Q6DIB4",""
"RIKEN cDNA 8430431K14 gene","8430431K14Rik","19","78103","NM_030041","MGI:1925353","",""
"RIKEN cDNA 8430432A02 gene","8430432A02Rik","1","71524","XM_484854","MGI:1918774","",""
"RIKEN cDNA 8430436L14 gene","8430436L14Rik","3","71560","XM_355454","","",""
"RIKEN cDNA 9030025P20 gene","9030025P20Rik","17","381062","NM_198646","MGI:3583895","",""
"RIKEN cDNA 9030203C11 gene","9030203C11Rik","10","320854","NM_177277","MGI:2444876","",""
"RIKEN cDNA 9030205A07 Gene","9030205A07Rik","12","217843","XM_484173","MGI:2684729","",""
"RIKEN cDNA 9030208M05 gene (non-RefSeq)","9030208M05Rik*","","0","9030208M05","","",""
"RIKEN cDNA 9030217H17 gene","9030217H17Rik","18","77694","XM_488855","MGI:1924944","",""
"RIKEN cDNA 9030224M15 gene","9030224M15Rik","10","327747","NM_177793","MGI:3045338","",""
"RIKEN cDNA 9030227G01 gene","9030227G01Rik","5","320336","NM_177136","MGI:2443838","",""
"RIKEN cDNA 9030404E10 gene","9030404E10Rik","16","71528","XM_148706","MGI:1918778","",""
"RIKEN cDNA 9030409G11 gene","9030409G11Rik","4","71529","NM_144531","MGI:1918779","",""
"RIKEN cDNA 9030414G15 gene (non-RefSeq)","9030414G15Rik*","","0","9030414G15","","",""
"RIKEN cDNA 9030416H16 gene","9030416H16Rik","5","71521","XM_358357","MGI:1918771","",""
"RIKEN cDNA 9030420J04 gene","9030420J04Rik","9","71544","XM_146632","MGI:1918794","",""
"RIKEN cDNA 9030421J09 gene","9030421J09Rik","15","245282","NM_177744","MGI:3036238","",""
"RIKEN cDNA 9030425E11 gene","9030425E11Rik","9","71566","NM_133733","MGI:1918816","",""
"RIKEN cDNA 9030605E16 gene","9030605E16Rik","X","75757","NM_029417","MGI:1923007","",""
"RIKEN cDNA 9030605H24 gene","9030605H24Rik","11","319767","NM_176999","MGI:2442688","",""
"RIKEN cDNA 9030607L17 gene","9030607L17Rik","10","71564","NM_027829","MGI:1918814","",""
"RIKEN cDNA 9030611K07 gene","9030611K07Rik","6","414084","NM_001001495","MGI:3041165","",""
"RIKEN cDNA 9030611O19 gene","9030611O19Rik","12","104943","NM_027828","MGI:1918813","",""
"RIKEN cDNA 9030612E09 gene","9030612E09Rik","10","74530","NM_172419","MGI:1921780","",""
"RIKEN cDNA 9030612M13 gene","9030612M13Rik","17","208292","NM_172458","MGI:1921793","",""
"RIKEN cDNA 9030617O03 gene","9030617O03Rik","12","217830","NM_145448","MGI:2444813","Q8BH86",""
"RIKEN cDNA 9030623N16 gene","9030623N16Rik","2","66811","NM_025777","MGI:1914061","",""
"RIKEN cDNA 9030624G23 gene","9030624G23Rik","12","66808","XM_484126","MGI:1914058","",""
"RIKEN cDNA 9030624J02 gene","9030624J02Rik","7","71517","NM_027815","MGI:1918767","",""
"RIKEN cDNA 9030625A04 gene","9030625A04Rik","14","210808","NM_172488","MGI:2445077","Q8BZT9",""
"RIKEN cDNA 9130004C02 gene","9130004C02Rik","9","320594","XM_489263","","",""
"RIKEN cDNA 9130005N14 gene","9130005N14Rik","5","68303","NM_026667","MGI:1915553","",""
"RIKEN cDNA 9130008F23 gene","9130008F23Rik","17","71583","XM_484636","MGI:1918833","",""
"RIKEN cDNA 9130011E15 gene","9130011E15Rik","19","71617","NM_198296","MGI:1918867","",""
"RIKEN cDNA 9130011J15 gene","9130011J15Rik","8","66818","NM_172396","MGI:1914068","",""
"RIKEN cDNA 9130011J15 gene","9130011J15Rik","8","66818","TC1564677","MGI:1914068","",""
"RIKEN cDNA 9130014G24 gene","9130014G24Rik","10","215772","NM_172547","MGI:3605549","",""
"RIKEN cDNA 9130015A21 gene","9130015A21Rik","12","71581","XM_488633","MGI:1918831","",""
"RIKEN cDNA 9130017C17 gene","9130017C17Rik","8","71607","NM_027840","MGI:1918857","Q9D2Y5",""
"RIKEN cDNA 9130017N09 gene","9130017N09Rik","10","78906","NM_030218","MGI:1926156","Q9D279",""
"RIKEN cDNA 9130019O22 gene","9130019O22Rik","7","78921","XM_133822","MGI:1926171","",""
"RIKEN cDNA 9130019P16 gene","9130019P16Rik","6","378878","NM_198118","MGI:1918824","",""
"RIKEN cDNA 9130019P16 gene","9130019P16Rik","6","71574","XM_132567","","",""
"RIKEN cDNA 9130019P20 gene (non-RefSeq)","9130019P20Rik*","","0","9130019P20","","",""
"RIKEN cDNA 9130022E12 gene (non-RefSeq)","9130022E12Rik*","","0","9130022E12","","",""
"RIKEN cDNA 9130022K13 gene","9130022K13Rik","15","75761","XM_203652","MGI:1923011","",""
"RIKEN cDNA 9130023D20 gene","9130023D20Rik","13","268706","NM_178746","MGI:1918839","",""
"RIKEN cDNA 9130023H24 gene","9130023H24Rik","7","319792","XM_620570","MGI:2442738","",""
"RIKEN cDNA 9130204K15 gene","9130204K15Rik","11","319235","XM_488604","MGI:2441733","",""
"RIKEN cDNA 9130204L05 gene","9130204L05Rik","3","229550","XM_130997","MGI:2684973","",""
"RIKEN cDNA 9130204N09 gene (non-RefSeq)","9130204N09Rik*","","0","9130204N09","","",""
"RIKEN cDNA 9130206I24 gene","9130206I24Rik","4","320458","XM_489057","MGI:2444065","",""
"RIKEN cDNA 9130206N08 gene","9130206N08Rik","10","103406","XM_125729","MGI:2143792","",""
"RIKEN cDNA 9130211I03 gene","9130211I03Rik","1","381319","NM_030060","MGI:1925491","",""
"RIKEN cDNA 9130213B05 gene","9130213B05Rik","5","231440","NM_145562","MGI:2443349","Q923D3",""
"RIKEN cDNA 9130214H05 gene","9130214H05Rik","13","319848","NM_177016","MGI:2442850","",""
"RIKEN cDNA 9130218E19 gene","9130218E19Rik","1","77677","XM_358331","MGI:1924927","",""
"RIKEN cDNA 9130218O11 gene","9130218O11Rik","15","328561","NM_177820","MGI:3043522","",""
"RIKEN cDNA 9130221D24 gene","9130221D24Rik","3","77669","XM_131253","MGI:1924919","",""
"hypothetical protein 9130221F21","9130221F21","6","330350","XM_485788","","",""
"RIKEN cDNA 9130221H12 gene","9130221H12Rik","7","77124","NM_178400","MGI:1924374","",""
"RIKEN cDNA 9130227C08Rik gene","9130227C08Rik","14","219094","NM_027143","MGI:2451333","Q80U38",""
"RIKEN cDNA 9130227L01 gene","9130227L01Rik","1","329159","XM_488894","MGI:2445084","",""
"RIKEN cDNA 9130229H14 gene","9130229H14Rik","1","236520","XM_135706","MGI:2138470","",""
"RIKEN cDNA 9130230L23 gene","9130230L23Rik","5","231253","NM_177679","MGI:3041166","",""
"RIKEN cDNA 9130401M01 gene","9130401M01Rik","15","75758","NM_029418","MGI:1923008","Q9D2X8",""
"RIKEN cDNA 9130404D08 gene","9130404D08Rik","8","74549","NM_028993","MGI:1921799","",""
"RIKEN cDNA 9130404D14 gene","9130404D14Rik","2","227737","NM_146119","MGI:2442910","Q8R1F1",""
"RIKEN cDNA 9130404H23 gene","9130404H23Rik","17","74556","XM_484657","MGI:1921806","",""
"RIKEN cDNA 9130409J20 gene","9130409J20Rik","11","71576","XM_488599","MGI:1918826","",""
"RIKEN cDNA 9130409M07 gene (non-RefSeq)","9130409M07Rik*","","0","9130409M07","","",""
"hypothetical protein 9130416B15","9130416B15","4","230726","NM_183163","","",""
"RIKEN cDNA 9130422G05 gene","9130422G05Rik","4","66819","NM_025782","MGI:1914069","",""
"RIKEN cDNA 9230002F21 gene","9230002F21Rik","","442835","NM_001002791","MGI:3045368","",""
"RIKEN cDNA 9230002O09 gene (non-RefSeq)","9230002O09Rik*","","0","9230002O09","","",""
"RIKEN cDNA 9230007A06 gene (non-RefSeq)","9230007A06Rik*","","0","9230007A06","","",""
"RIKEN cDNA 9230007O13 gene (non-RefSeq)","9230007O13Rik*","","0","9230007O13","","",""
"RIKEN cDNA 9230010P13 gene (non-RefSeq)","9230010P13Rik*","","0","9230010P13","","",""
"RIKEN cDNA 9230014I20 gene (non-RefSeq)","9230014I20Rik*","","0","9230014I20","","",""
"RIKEN cDNA 9230019H11 gene","9230019H11Rik","10","215728","XM_136903","MGI:3588256","",""
"RIKEN cDNA 9230020A06 gene (non-RefSeq)","9230020A06Rik*","","0","9230020A06","","",""
"RIKEN cDNA 9230101K24 gene","9230101K24Rik","14","320611","NM_177206","","",""
"RIKEN cDNA 9230102G06 gene (non-RefSeq)","9230102G06Rik*","","0","9230102G06","","",""
"RIKEN cDNA 9230104L09 gene","9230104L09Rik","2","77705","XM_130534","MGI:1924955","",""
"RIKEN cDNA 9230105E10 gene","9230105E10Rik","7","319236","NM_175677","MGI:2441735","",""
"RIKEN cDNA 9230106D20 gene","9230106D20Rik","10","327728","NM_177792","MGI:3045371","",""
"RIKEN cDNA 9230107I16 gene (non-RefSeq)","9230107I16Rik*","","0","9230107I16","","",""
"RIKEN cDNA 9230107M04 gene","9230107M04Rik","7","77684","XM_486054","MGI:1924934","",""
"RIKEN cDNA 9230107O10 gene","9230107O10Rik","2","319579","NM_176950","MGI:2442320","",""
"RIKEN cDNA 9230108M03 gene (non-RefSeq)","9230108M03Rik*","","0","9230108M03","","",""
"RIKEN cDNA 9230108O11 gene (non-RefSeq)","9230108O11Rik*","","0","9230108O11","","",""
"RIKEN cDNA 9230109A22 gene","9230109A22Rik","15","223413","NM_177339","MGI:2445011","",""
"RIKEN cDNA 9230109C12 gene (non-RefSeq)","9230109C12Rik*","","0","9230109C12","","",""
"hypothetical protein 9230109N16","9230109N16","3","229862","NM_177665","","",""
"RIKEN cDNA 9230110C19 gene","9230110C19Rik","9","234912","NM_199017","MGI:3045346","",""
"RIKEN cDNA 9230110F15 gene","9230110F15Rik","9","77080","XM_134713","MGI:1924330","",""
"RIKEN cDNA 9230110G02 gene (non-RefSeq)","9230110G02Rik*","","0","9230110G02","","",""
"RIKEN cDNA 9230112D13 gene","9230112D13Rik","14","78243","XM_127665","MGI:1925493","",""
"RIKEN cDNA 9230112E08 gene","9230112E08Rik","2","320800","NM_177264","MGI:2444774","",""
"RIKEN cDNA 9230113P08 gene","9230113P08Rik","9","77908","XM_150149","MGI:1925158","",""
"RIKEN cDNA 9230116B18 gene","9230116B18Rik","2","78245","XM_484966","MGI:1925495","",""
"RIKEN cDNA 9230117E20 gene","9230117E20Rik","18","78242","NM_030061","MGI:1925492","",""
"RIKEN cDNA 9230117N10 gene","9230117N10Rik","19","77125","NM_133775","MGI:1924375","Q8BVZ5","G01796"
"RIKEN cDNA 9230118I06 gene (non-RefSeq)","9230118I06Rik*","","0","9230118I06","","",""
"RIKEN cDNA 9230119C12 gene","9230119C12Rik","7","77909","XM_485956","MGI:1925159","",""
"RIKEN cDNA 9230119M08 gene (non-RefSeq)","9230119M08Rik*","","0","9230119M08","","",""
"RIKEN cDNA 9330002K18 gene (non-RefSeq)","9330002K18Rik*","","0","9330002K18","","",""
"RIKEN cDNA 9330003I22 gene (non-RefSeq)","9330003I22Rik*","","0","9330003I22","","",""
"RIKEN cDNA 9330102E08 gene","9330102E08Rik","6","330427","XM_489154","MGI:3026973","",""
"RIKEN cDNA 9330104G04 gene","9330104G04Rik","7","320950","XM_489165","MGI:2445112","",""
"RIKEN cDNA 9330109E03 gene","9330109E03Rik","6","320852","NM_177276","","",""
"RIKEN cDNA 9330112K21 gene (non-RefSeq)","9330112K21Rik*","","0","9330112K21","","",""
"RIKEN cDNA 9330119M13 gene","9330119M13Rik","X","319963","NM_177044","MGI:2443073","",""
"RIKEN cDNA 9330120H11 gene","9330120H11Rik","7","319890","NM_177029","MGI:2442918","",""
"hypothetical protein 9330126M15","9330126M15","2","329483","XM_488952","","",""
"RIKEN cDNA 9330128J19 gene","9330128J19Rik","13","271144","XM_197073","MGI:2444730","",""
"RIKEN cDNA 9330129D05 gene","9330129D05Rik","5","338350","XM_488540","MGI:2443320","",""
"RIKEN cDNA 9330132A10 gene","9330132A10Rik","18","319609","NM_176961","MGI:2442380","",""
"RIKEN cDNA 9330132E09 gene","9330132E09Rik","1","319901","XM_283635","MGI:2442948","",""
"RIKEN cDNA 9330133O14 gene","9330133O14Rik","8","319574","NM_176948","MGI:2442309","",""
"RIKEN cDNA 9330154K18 gene","9330154K18Rik","15","319829","NM_177011","MGI:2442806","",""
"RIKEN cDNA 9330155M09 gene","9330155M09Rik","16","320756","NM_177254","MGI:2444670","",""
"RIKEN cDNA 9330158F14 gene","9330158F14Rik","2","320106","NM_177074","MGI:2443383","",""
"RIKEN cDNA 9330158H04 gene","9330158H04Rik","6","319472","XM_489132","MGI:2442094","",""
"RIKEN cDNA 9330159F19 gene","9330159F19Rik","10","212448","XM_137017","MGI:3036239","",""
"RIKEN cDNA 9330161L09 gene (non-RefSeq)","9330161L09Rik*","","0","9330161L09","","",""
"RIKEN cDNA 9330169L03 gene","9330169L03Rik","Un","77226","NM_175253","MGI:1924476","",""
"RIKEN cDNA 9330175E14 gene","9330175E14Rik","8","320377","NM_177146","MGI:2443913","",""
